distance_m,lon,lat,elevation_m
8430.00,515352.894626,5408502.528035,213.00
8460.00,515352.423897,5408472.723017,214.00
8490.00,515352.423897,5408442.723017,216.00
8520.00,515352.423897,5408412.723017,216.00
8550.00,515352.423897,5408382.723017,215.00
8580.00,515371.450680,5408360.604168,217.00
8610.00,515392.663884,5408339.390965,216.00
8640.00,515413.877087,5408343.143057,217.00
8670.00,515438.905438,5408355.145680,217.00
8700.00,515468.905438,5408355.145680,218.00
8730.00,515491.859837,5408338.136096,220.00
8760.00,515513.073041,5408316.922892,220.00
8790.00,515534.286244,5408295.709689,220.00
8820.00,515555.499447,5408274.496485,216.00
8850.00,515576.712651,5408253.283282,214.00
8880.00,515597.925854,5408232.070079,216.00
8910.00,515619.139058,5408210.856875,217.00
8940.00,515640.352261,5408189.643672,215.00
8970.00,515661.565465,5408168.430468,216.00
9000.00,515687.768387,5408159.263512,218.00
9030.00,515711.163441,5408143.317763,218.00
9060.00,515737.626255,5408134.778240,216.00
9090.00,515767.626255,5408134.778240,214.00
9120.00,515796.317761,5408131.619256,214.00
9150.00,515817.530965,5408110.406052,216.00
9180.00,515847.484124,5408110.292969,218.00
9210.00,515877.484124,5408110.292969,219.00
9240.00,515902.685285,5408098.707546,219.00
9270.00,515927.341993,5408085.807698,218.00
9300.00,515952.283261,5408073.594840,217.00
9330.00,515977.199861,5408061.322427,217.00
9360.00,516007.199861,5408061.322427,217.00
9390.00,516030.266011,5408044.582632,217.00
9420.00,516057.057730,5408036.837156,217.00
9450.00,516079.863988,5408019.469927,216.00
9480.00,516101.077191,5407998.256723,215.00
9510.00,516122.290395,5407977.043520,215.00
9540.00,516146.631336,5407963.381343,215.00
9570.00,516171.888372,5407951.930814,214.00
9600.00,516193.101575,5407930.717611,215.00
9630.00,516214.314779,5407909.504407,215.00
9660.00,516235.527982,5407888.291204,217.00
9690.00,516256.741185,5407867.078000,218.00
9720.00,516277.954389,5407845.864797,220.00
9750.00,516299.167592,5407824.651593,219.00
9780.00,516320.380796,5407803.438390,220.00
9810.00,516341.593999,5407782.225187,220.00
9840.00,516365.494285,5407767.499174,220.00
9870.00,516391.191976,5407757.112481,219.00
9900.00,516415.352154,5407743.013903,220.00
9930.00,516440.789953,5407731.999775,220.00
